plot_name,latitude,longitude,commodity,annual_spend_eur,plot_geojson,plot_area_ha,region,country,irrigation_status
ADM - Iowa Soybean Plot 004,42.353677,-93.530355,Soybean,1555000,,1.53,Iowa,US,rain_fed
Amaggi - Illinois Soybean Plot 005,39.471428,-88.973539,Soybean,1540000,"{""type"":""Polygon"",""coordinates"":[[[-88.973539,39.471428],[-88.965998,39.471428],[-88.965998,39.478328],[-88.973539,39.478328],[-88.973539,39.471428]]]}",,Illinois,US,rain_fed
Cargill Grains - Illinois Soybean Plot 006,40.082313,-89.227051,Soybean,205000,,0.57,Illinois,US,rain_fed
Amaggi - Mato Grosso Soybean Plot 007,-12.815462,-55.829186,Soybean,1045000,,3.33,Mato Grosso,BR,rain_fed
Amaggi - Santa Fe Soybean Plot 008,-30.966404,-61.38228,Soybean,1538000,,2.36,Santa Fe,AR,rain_fed
Bunge - Iowa Soybean Plot 009,42.427616,-93.762869,Soybean,1523000,,2.59,Iowa,US,rain_fed
COFCO - Mato Grosso Soybean Plot 010,-12.918268,-56.32497,Soybean,3300000,,1.28,Mato Grosso,BR,rain_fed
Amaggi - Iowa Soybean Plot 011,41.928015,-93.289665,Soybean,2216000,"{""type"":""Polygon"",""coordinates"":[[[-93.289665,41.928015],[-93.284821,41.928015],[-93.284821,41.932577],[-93.289665,41.932577],[-93.289665,41.928015]]]}",,Iowa,US,rain_fed
Bunge - Mato Grosso Soybean Plot 012,-12.524559,-56.376138,Soybean,3227000,,0.89,Mato Grosso,BR,rain_fed
Amaggi - Santa Fe Soybean Plot 013,-30.941618,-60.637291,Soybean,2547000,,1.06,Santa Fe,AR,rain_fed
COFCO - Mato Grosso Soybean Plot 014,-12.753452,-55.867126,Soybean,1071000,,1.56,Mato Grosso,BR,rain_fed
Amaggi - Parana Soybean Plot 015,-24.229511,-51.965842,Soybean,2041000,,2.09,Parana,BR,rain_fed
Cargill Grains - Mato Grosso Soybean Plot 016,-12.98599,-55.527135,Soybean,1434000,,3.89,Mato Grosso,BR,rain_fed
Bunge - Cordoba Soybean Plot 017,-30.936587,-63.309967,Soybean,3030000,"{""type"":""Polygon"",""coordinates"":[[[-63.309967,-30.936587],[-63.301909,-30.936587],[-63.301909,-30.931302],[-63.309967,-30.931302],[-63.309967,-30.936587]]]}",,Cordoba,AR,rain_fed
Bunge - Mato Grosso Soybean Plot 018,-12.622597,-56.048146,Soybean,590000,,0.8,Mato Grosso,BR,rain_fed
Bunge - Iowa Soybean Plot 019,41.629975,-93.856888,Soybean,2372000,,2.62,Iowa,US,rain_fed
COFCO - Cordoba Soybean Plot 020,-30.875842,-63.568358,Soybean,1466000,,2.31,Cordoba,AR,rain_fed
COFCO - Cordoba Soybean Plot 021,-31.663776,-63.643137,Soybean,2083000,,2.86,Cordoba,AR,rain_fed
COFCO - Parana Soybean Plot 022,-24.546564,-51.832487,Soybean,1056000,,2.21,Parana,BR,rain_fed
Cargill Grains - Mato Grosso Soybean Plot 023,-13.352427,-55.551485,Soybean,3238000,"{""type"":""Polygon"",""coordinates"":[[[-55.551485,-13.352427],[-55.549197,-13.352427],[-55.549197,-13.35012],[-55.551485,-13.35012],[-55.551485,-13.352427]]]}",,Mato Grosso,BR,rain_fed
ADM - Santa Fe Soybean Plot 024,-31.067452,-61.301815,Soybean,167000,,0.81,Santa Fe,AR,rain_fed
ADM - Cordoba Soybean Plot 025,-31.601557,-62.660951,Soybean,932000,,1.6,Cordoba,AR,rain_fed
COFCO - Iowa Soybean Plot 026,41.969751,-93.531687,Soybean,925000,,1.34,Iowa,US,rain_fed
COFCO - Illinois Soybean Plot 027,40.250905,-89.103291,Soybean,2586000,,1.81,Illinois,US,rain_fed
ADM - Mato Grosso Soybean Plot 028,-12.66792,-55.964392,Soybean,140000,,3.28,Mato Grosso,BR,rain_fed
Amaggi - Iowa Soybean Plot 029,41.572513,-93.756265,Soybean,2673000,"{""type"":""Polygon"",""coordinates"":[[[-93.756265,41.572513],[-93.747168,41.572513],[-93.747168,41.58007],[-93.756265,41.58007],[-93.756265,41.572513]]]}",,Iowa,US,rain_fed
COFCO - Iowa Soybean Plot 030,41.915355,-93.341218,Soybean,201000,,2.11,Iowa,US,rain_fed
COFCO - Mato Grosso Soybean Plot 031,-13.283139,-55.616851,Soybean,2268000,,2.08,Mato Grosso,BR,mixed
ADM - Cordoba Soybean Plot 032,-31.461454,-62.683129,Soybean,375000,,2.9,Cordoba,AR,rain_fed
Bunge - Illinois Soybean Plot 033,39.848089,-88.64411,Soybean,3495000,,0.64,Illinois,US,rain_fed
Cargill Grains - Cordoba Soybean Plot 034,-30.980463,-62.911754,Soybean,347000,,2.14,Cordoba,AR,rain_fed
Cargill Grains - Parana Soybean Plot 035,-24.637763,-51.171937,Soybean,2200000,"{""type"":""Polygon"",""coordinates"":[[[-51.171937,-24.637763],[-51.168271,-24.637763],[-51.168271,-24.633561],[-51.171937,-24.633561],[-51.171937,-24.637763]]]}",,Parana,BR,rain_fed
Cargill Grains - Santa Fe Soybean Plot 036,-30.338566,-60.596832,Soybean,830000,,2.31,Santa Fe,AR,rain_fed
ADM - Iowa Soybean Plot 037,41.550432,-93.365371,Soybean,1635000,,3.37,Iowa,US,rain_fed
Cargill Grains - Santa Fe Soybean Plot 038,-30.625376,-60.653083,Soybean,380000,,3.06,Santa Fe,AR,rain_fed
ADM - Santa Fe Soybean Plot 039,-30.159623,-61.434585,Soybean,2891000,,2.02,Santa Fe,AR,mixed
COFCO - Cordoba Soybean Plot 040,-31.620158,-63.682519,Soybean,2519000,,0.83,Cordoba,AR,mixed
Amaggi - Iowa Soybean Plot 041,42.059904,-93.912836,Soybean,2467000,"{""type"":""Polygon"",""coordinates"":[[[-93.912836,42.059904],[-93.904571,42.059904],[-93.904571,42.068233],[-93.912836,42.068233],[-93.912836,42.059904]]]}",,Iowa,US,mixed
COFCO - Parana Soybean Plot 042,-24.769112,-51.13765,Soybean,1985000,,2.92,Parana,BR,rain_fed
COFCO - Santa Fe Soybean Plot 043,-30.784978,-61.434237,Soybean,1868000,,2.62,Santa Fe,AR,rain_fed
Bunge - Santa Fe Soybean Plot 044,-30.224274,-60.37873,Soybean,1180000,,3.85,Santa Fe,AR,rain_fed
Cargill Grains - Mato Grosso Soybean Plot 045,-12.69106,-55.854585,Soybean,2705000,,1.41,Mato Grosso,BR,rain_fed
Amaggi - Parana Soybean Plot 046,-24.799229,-51.558326,Soybean,1142000,,1.37,Parana,BR,rain_fed
COFCO - Cordoba Soybean Plot 047,-31.82656,-62.948043,Soybean,2870000,"{""type"":""Polygon"",""coordinates"":[[[-62.948043,-31.82656],[-62.939107,-31.82656],[-62.939107,-31.820379],[-62.948043,-31.820379],[-62.948043,-31.82656]]]}",,Cordoba,AR,rain_fed
COFCO - Illinois Soybean Plot 048,39.888144,-89.262877,Soybean,692000,,0.38,Illinois,US,rain_fed
Cargill Grains - Iowa Soybean Plot 049,42.373501,-94.046685,Soybean,1898000,,3.64,Iowa,US,rain_fed
Cargill Grains - Iowa Soybean Plot 050,42.256559,-93.356381,Soybean,2372000,,0.79,Iowa,US,rain_fed
ADM - Parana Soybean Plot 051,-24.782122,-51.398399,Soybean,2607000,,1.86,Parana,BR,rain_fed
Cargill Grains - Santa Fe Soybean Plot 052,-30.235063,-60.90846,Soybean,3450000,,0.89,Santa Fe,AR,rain_fed
Bunge - Cordoba Soybean Plot 053,-31.427104,-63.650374,Soybean,1209000,"{""type"":""Polygon"",""coordinates"":[[[-63.650374,-31.427104],[-63.643364,-31.427104],[-63.643364,-31.422236],[-63.650374,-31.422236],[-63.650374,-31.427104]]]}",,Cordoba,AR,rain_fed
Cargill Grains - Santa Fe Soybean Plot 054,-30.219113,-61.377748,Soybean,230000,,0.69,Santa Fe,AR,rain_fed
ADM - Santa Fe Soybean Plot 055,-31.0292,-60.456267,Soybean,2694000,,2.35,Santa Fe,AR,rain_fed
ADM - Santa Fe Soybean Plot 056,-30.316771,-60.808655,Soybean,324000,,2.1,Santa Fe,AR,rain_fed
Amaggi - Parana Soybean Plot 057,-24.450374,-51.35692,Soybean,2638000,,1.42,Parana,BR,rain_fed
Amaggi - Santa Fe Soybean Plot 058,-30.256326,-60.730369,Soybean,3320000,,0.8,Santa Fe,AR,rain_fed
Bunge - Iowa Soybean Plot 059,42.387883,-93.478372,Soybean,3227000,"{""type"":""Polygon"",""coordinates"":[[[-93.478372,42.387883],[-93.470694,42.387883],[-93.470694,42.395322],[-93.478372,42.395322],[-93.478372,42.387883]]]}",,Iowa,US,rain_fed
Cargill Grains - Mato Grosso Soybean Plot 060,-13.240347,-56.268635,Soybean,652000,,1.39,Mato Grosso,BR,mixed
COFCO - Iowa Soybean Plot 061,41.650803,-93.224735,Soybean,1721000,,1.89,Iowa,US,rain_fed
Cargill Grains - Mato Grosso Soybean Plot 062,-13.288967,-55.830612,Soybean,1707000,,3.87,Mato Grosso,BR,rain_fed
Bunge - Iowa Soybean Plot 063,41.639883,-94.045887,Soybean,1068000,,0.98,Iowa,US,rain_fed
Bunge - Mato Grosso Soybean Plot 064,-12.623148,-56.068122,Soybean,1420000,,0.81,Mato Grosso,BR,rain_fed
Amaggi - Iowa Soybean Plot 065,41.957087,-94.041297,Soybean,2295000,"{""type"":""Polygon"",""coordinates"":[[[-94.041297,41.957087],[-94.036899,41.957087],[-94.036899,41.960441],[-94.041297,41.960441],[-94.041297,41.957087]]]}",,Iowa,US,rain_fed
Amaggi - Cordoba Soybean Plot 066,-31.617543,-63.378598,Soybean,372000,,1.68,Cordoba,AR,mixed
Amaggi - Iowa Soybean Plot 067,42.264185,-93.665038,Soybean,1483000,,2.88,Iowa,US,rain_fed
Cargill Grains - Cordoba Soybean Plot 068,-31.443984,-63.116627,Soybean,235000,,2.04,Cordoba,AR,rain_fed
Bunge - Illinois Soybean Plot 069,40.469452,-89.118164,Soybean,1819000,,3.02,Illinois,US,rain_fed
Amaggi - Cordoba Soybean Plot 070,-31.263924,-63.72099,Soybean,2254000,,1.53,Cordoba,AR,rain_fed
COFCO - Cordoba Soybean Plot 071,-31.170242,-63.053437,Soybean,1278000,"{""type"":""Polygon"",""coordinates"":[[[-63.053437,-31.170242],[-63.045903,-31.170242],[-63.045903,-31.162845],[-63.053437,-31.162845],[-63.053437,-31.170242]]]}",,Cordoba,AR,rain_fed
Bunge - Parana Soybean Plot 072,-25.010798,-51.820023,Soybean,3115000,,0.81,Parana,BR,rain_fed
Amaggi - Parana Soybean Plot 073,-24.216234,-51.778955,Soybean,3281000,,2.57,Parana,BR,mixed
Bunge - Parana Soybean Plot 074,-24.660787,-51.043403,Soybean,3260000,,2.31,Parana,BR,rain_fed
Bunge - Santa Fe Soybean Plot 075,-30.157311,-61.312328,Soybean,2833000,,3.0,Santa Fe,AR,rain_fed
COFCO - Santa Fe Soybean Plot 076,-31.227689,-61.011391,Soybean,355000,,1.51,Santa Fe,AR,rain_fed
ADM - Santa Fe Soybean Plot 077,-31.209068,-60.815866,Soybean,1514000,"{""type"":""Polygon"",""coordinates"":[[[-60.815866,-31.209068],[-60.807723,-31.209068],[-60.807723,-31.203118],[-60.815866,-31.203118],[-60.815866,-31.209068]]]}",,Santa Fe,AR,rain_fed
Cargill Grains - Parana Soybean Plot 078,-24.348,-51.763295,Soybean,285000,,0.49,Parana,BR,rain_fed
Bunge - Parana Soybean Plot 079,-24.389083,-51.930593,Soybean,1765000,,3.38,Parana,BR,rain_fed
Bunge - Cordoba Soybean Plot 080,-31.610378,-63.20228,Soybean,1674000,,2.29,Cordoba,AR,rain_fed
Amaggi - Parana Soybean Plot 081,-24.266201,-51.31624,Soybean,2301000,,2.56,Parana,BR,rain_fed
Viterra - Kansas Wheat Plot 001,38.717954,-98.407789,Wheat,2121000,,0.9,Kansas,US,rain_fed
GrainCorp - Kansas Wheat Plot 002,38.836625,-98.052486,Wheat,971000,"{""type"":""Polygon"",""coordinates"":[[[-98.052486,38.836625],[-98.045913,38.836625],[-98.045913,38.841192],[-98.052486,38.841192],[-98.052486,38.836625]]]}",,Kansas,US,rain_fed
Cargill Grains - Beauce Wheat Plot 003,48.730416,1.477719,Wheat,684000,,1.46,Beauce,FR,rain_fed
Soufflet - Kansas Wheat Plot 004,38.503245,-97.472128,Wheat,729000,,1.28,Kansas,US,rain_fed
GrainCorp - Poltava Wheat Plot 005,49.251634,31.505964,Wheat,1536000,,1.62,Poltava,UA,mixed
Viterra - Saskatchewan Wheat Plot 006,50.532685,-106.046984,Wheat,2082000,,1.16,Saskatchewan,CA,mixed
Viterra - Wheatbelt Wheat Plot 007,-31.220531,117.175578,Wheat,1692000,,1.37,Wheatbelt,AU,rain_fed
GrainCorp - Kansas Wheat Plot 008,38.711626,-97.981579,Wheat,933000,"{""type"":""Polygon"",""coordinates"":[[[-97.981579,38.711626],[-97.973892,38.711626],[-97.973892,38.718645],[-97.981579,38.718645],[-97.981579,38.711626]]]}",,Kansas,US,rain_fed
ADM Milling - Saskatchewan Wheat Plot 009,51.532904,-106.042969,Wheat,483000,,2.51,Saskatchewan,CA,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 010,50.88755,-106.353443,Wheat,2142000,,2.54,Saskatchewan,CA,rain_fed
Soufflet - Wheatbelt Wheat Plot 011,-31.796145,117.425847,Wheat,951000,,1.56,Wheatbelt,AU,rain_fed
Viterra - Wheatbelt Wheat Plot 012,-31.151715,117.70872,Wheat,973000,,3.71,Wheatbelt,AU,rain_fed
Viterra - Saskatchewan Wheat Plot 013,50.613865,-105.729125,Wheat,1937000,,2.67,Saskatchewan,CA,rain_fed
ADM Milling - Wheatbelt Wheat Plot 014,-32.035254,117.164385,Wheat,2127000,"{""type"":""Polygon"",""coordinates"":[[[117.164385,-32.035254],[117.171292,-32.035254],[117.171292,-32.028769],[117.164385,-32.028769],[117.164385,-32.035254]]]}",,Wheatbelt,AU,rain_fed
Viterra - Kansas Wheat Plot 015,38.45563,-97.833575,Wheat,543000,,1.09,Kansas,US,rain_fed
ADM Milling - Saskatchewan Wheat Plot 016,51.448443,-106.48644,Wheat,932000,,3.78,Saskatchewan,CA,rain_fed
GrainCorp - Saskatchewan Wheat Plot 017,50.855295,-105.607469,Wheat,1117000,,2.92,Saskatchewan,CA,rain_fed
Cargill Grains - Kansas Wheat Plot 018,38.594771,-98.182237,Wheat,1466000,,1.93,Kansas,US,rain_fed
ADM Milling - Beauce Wheat Plot 019,47.937178,1.813059,Wheat,2189000,,1.09,Beauce,FR,rain_fed
Viterra - Kansas Wheat Plot 020,38.00314,-98.193667,Wheat,923000,"{""type"":""Polygon"",""coordinates"":[[[-98.193667,38.00314],[-98.18735,38.00314],[-98.18735,38.008136],[-98.193667,38.008136],[-98.193667,38.00314]]]}",,Kansas,US,rain_fed
Viterra - Wheatbelt Wheat Plot 021,-31.830985,117.309006,Wheat,1318000,,3.12,Wheatbelt,AU,mixed
Viterra - Wheatbelt Wheat Plot 022,-31.473323,116.985572,Wheat,580000,,0.91,Wheatbelt,AU,rain_fed
GrainCorp - Kansas Wheat Plot 023,37.976925,-98.254258,Wheat,1815000,,1.36,Kansas,US,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 024,51.330748,-106.461095,Wheat,971000,,3.84,Saskatchewan,CA,rain_fed
GrainCorp - Beauce Wheat Plot 025,48.666572,1.890032,Wheat,1078000,,2.69,Beauce,FR,rain_fed
GrainCorp - Poltava Wheat Plot 026,49.021857,32.527899,Wheat,782000,"{""type"":""Polygon"",""coordinates"":[[[32.527899,49.021857],[32.533155,49.021857],[32.533155,49.025988],[32.527899,49.025988],[32.527899,49.021857]]]}",,Poltava,UA,rain_fed
Soufflet - Wheatbelt Wheat Plot 027,-31.027892,116.961873,Wheat,1259000,,2.48,Wheatbelt,AU,rain_fed
GrainCorp - Beauce Wheat Plot 028,48.200993,2.053635,Wheat,874000,,3.7,Beauce,FR,rain_fed
Viterra - Saskatchewan Wheat Plot 029,51.048232,-106.537083,Wheat,853000,,0.97,Saskatchewan,CA,rain_fed
GrainCorp - Beauce Wheat Plot 030,48.466324,1.543159,Wheat,1287000,,1.2,Beauce,FR,rain_fed
GrainCorp - Kansas Wheat Plot 031,38.940211,-98.547397,Wheat,2088000,,3.58,Kansas,US,rain_fed
Soufflet - Wheatbelt Wheat Plot 032,-31.171349,117.593873,Wheat,1162000,"{""type"":""Polygon"",""coordinates"":[[[117.593873,-31.171349],[117.602487,-31.171349],[117.602487,-31.164214],[117.593873,-31.164214],[117.593873,-31.171349]]]}",,Wheatbelt,AU,rain_fed
ADM Milling - Wheatbelt Wheat Plot 033,-31.354377,117.386224,Wheat,2157000,,3.18,Wheatbelt,AU,rain_fed
GrainCorp - Kansas Wheat Plot 034,38.131252,-97.488964,Wheat,659000,,2.2,Kansas,US,mixed
ADM Milling - Beauce Wheat Plot 035,48.185377,1.974548,Wheat,499000,,2.28,Beauce,FR,rain_fed
Soufflet - Saskatchewan Wheat Plot 036,51.073013,-105.915084,Wheat,1634000,,1.16,Saskatchewan,CA,mixed
ADM Milling - Poltava Wheat Plot 037,48.760191,31.633456,Wheat,765000,,1.46,Poltava,UA,rain_fed
Soufflet - Kansas Wheat Plot 038,38.366414,-97.784324,Wheat,491000,"{""type"":""Polygon"",""coordinates"":[[[-97.784324,38.366414],[-97.777387,38.366414],[-97.777387,38.371282],[-97.784324,38.371282],[-97.784324,38.366414]]]}",,Kansas,US,rain_fed
ADM Milling - Saskatchewan Wheat Plot 039,51.042856,-106.020498,Wheat,564000,,0.54,Saskatchewan,CA,rain_fed
Soufflet - Saskatchewan Wheat Plot 040,50.47572,-106.245094,Wheat,293000,,0.87,Saskatchewan,CA,rain_fed
Soufflet - Saskatchewan Wheat Plot 041,50.770639,-106.453662,Wheat,1778000,,2.46,Saskatchewan,CA,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 042,50.967399,-106.023524,Wheat,1382000,,3.03,Saskatchewan,CA,rain_fed
Soufflet - Poltava Wheat Plot 043,49.474881,32.312921,Wheat,1446000,,3.6,Poltava,UA,rain_fed
Cargill Grains - Beauce Wheat Plot 044,47.667778,1.845153,Wheat,1570000,"{""type"":""Polygon"",""coordinates"":[[[1.845153,47.667778],[1.850004,47.667778],[1.850004,47.670559],[1.845153,47.670559],[1.845153,47.667778]]]}",,Beauce,FR,rain_fed
Soufflet - Kansas Wheat Plot 045,38.25906,-98.20775,Wheat,1897000,,3.42,Kansas,US,rain_fed
ADM Milling - Beauce Wheat Plot 046,48.381899,1.464704,Wheat,611000,,1.41,Beauce,FR,mixed
Cargill Grains - Beauce Wheat Plot 047,47.917709,1.757295,Wheat,1135000,,2.09,Beauce,FR,rain_fed
Soufflet - Beauce Wheat Plot 048,48.701987,2.127747,Wheat,1180000,,3.56,Beauce,FR,mixed
Viterra - Wheatbelt Wheat Plot 049,-31.324655,117.125741,Wheat,519000,,3.64,Wheatbelt,AU,rain_fed
GrainCorp - Saskatchewan Wheat Plot 050,51.365053,-105.520205,Wheat,1941000,"{""type"":""Polygon"",""coordinates"":[[[-105.520205,51.365053],[-105.514494,51.365053],[-105.514494,51.369814],[-105.520205,51.369814],[-105.520205,51.365053]]]}",,Saskatchewan,CA,mixed
Soufflet - Beauce Wheat Plot 051,48.276749,2.083537,Wheat,1656000,,2.69,Beauce,FR,rain_fed
GrainCorp - Poltava Wheat Plot 052,49.445698,31.650994,Wheat,1765000,,2.17,Poltava,UA,rain_fed
Cargill Grains - Wheatbelt Wheat Plot 053,-31.336992,117.469174,Wheat,984000,,3.58,Wheatbelt,AU,rain_fed
Cargill Grains - Wheatbelt Wheat Plot 054,-31.528643,117.08589,Wheat,1422000,,3.41,Wheatbelt,AU,rain_fed
GrainCorp - Poltava Wheat Plot 055,48.551864,31.730278,Wheat,569000,,2.76,Poltava,UA,mixed
Soufflet - Beauce Wheat Plot 056,48.694688,1.947668,Wheat,1302000,"{""type"":""Polygon"",""coordinates"":[[[1.947668,48.694688],[1.95372,48.694688],[1.95372,48.699802],[1.947668,48.699802],[1.947668,48.694688]]]}",,Beauce,FR,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 057,51.114084,-106.206213,Wheat,390000,,1.24,Saskatchewan,CA,rain_fed
Viterra - Wheatbelt Wheat Plot 058,-31.605748,117.776412,Wheat,1301000,,0.45,Wheatbelt,AU,rain_fed
ADM Milling - Beauce Wheat Plot 059,48.069073,2.054458,Wheat,2140000,,2.84,Beauce,FR,mixed
GrainCorp - Wheatbelt Wheat Plot 060,-31.397843,117.263887,Wheat,1203000,,1.94,Wheatbelt,AU,mixed
Cargill Grains - Beauce Wheat Plot 061,48.52647,1.726328,Wheat,1960000,,3.28,Beauce,FR,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 062,50.473179,-105.949265,Wheat,736000,"{""type"":""Polygon"",""coordinates"":[[[-105.949265,50.473179],[-105.94393,50.473179],[-105.94393,50.477763],[-105.949265,50.477763],[-105.949265,50.473179]]]}",,Saskatchewan,CA,rain_fed
GrainCorp - Poltava Wheat Plot 063,48.781352,31.912164,Wheat,886000,,0.6,Poltava,UA,rain_fed
GrainCorp - Wheatbelt Wheat Plot 064,-32.004408,118.002263,Wheat,1062000,,2.02,Wheatbelt,AU,mixed
Viterra - Saskatchewan Wheat Plot 065,51.202357,-106.43463,Wheat,635000,,1.34,Saskatchewan,CA,rain_fed
ADM Milling - Wheatbelt Wheat Plot 066,-31.083908,116.959254,Wheat,137000,,1.51,Wheatbelt,AU,rain_fed
GrainCorp - Beauce Wheat Plot 067,47.805846,1.684601,Wheat,256000,,1.84,Beauce,FR,rain_fed
Soufflet - Kansas Wheat Plot 068,38.923444,-97.703247,Wheat,1824000,"{""type"":""Polygon"",""coordinates"":[[[-97.703247,38.923444],[-97.699835,38.923444],[-97.699835,38.925608],[-97.703247,38.925608],[-97.703247,38.923444]]]}",,Kansas,US,mixed
GrainCorp - Poltava Wheat Plot 069,48.52717,31.943588,Wheat,2101000,,1.07,Poltava,UA,rain_fed
Cargill Grains - Saskatchewan Wheat Plot 070,51.165123,-105.922583,Wheat,1356000,,0.88,Saskatchewan,CA,rain_fed
Soufflet - Beauce Wheat Plot 071,47.990886,2.089203,Wheat,1883000,,1.1,Beauce,FR,mixed
COFCO - Mato Grosso Maize Plot 001,-13.070502,-55.828046,Maize,1858000,,2.29,Mato Grosso,BR,irrigated
LDC - Aquitaine Maize Plot 002,44.18375,-0.010666,Maize,883000,,3.14,Aquitaine,FR,rain_fed
ADM - Cherkasy Maize Plot 003,49.570192,31.556507,Maize,2358000,"{""type"":""Polygon"",""coordinates"":[[[31.556507,49.570192],[31.564213,49.570192],[31.564213,49.576856],[31.556507,49.576856],[31.556507,49.570192]]]}",,Cherkasy,UA,mixed
COFCO - Buenos Aires Maize Plot 004,-32.57317,-62.464819,Maize,1437000,,0.94,Buenos Aires,AR,mixed
LDC - Buenos Aires Maize Plot 005,-32.722632,-61.631359,Maize,1616000,,3.31,Buenos Aires,AR,mixed
Cargill Grains - Buenos Aires Maize Plot 006,-32.688788,-62.074602,Maize,1616000,,3.49,Buenos Aires,AR,rain_fed
Cargill Grains - Cherkasy Maize Plot 007,49.35793,31.540792,Maize,390000,,1.93,Cherkasy,UA,irrigated
LDC - Mato Grosso Maize Plot 008,-13.289032,-55.238359,Maize,1720000,,2.34,Mato Grosso,BR,mixed
COFCO - Aquitaine Maize Plot 009,44.242144,-0.052342,Maize,873000,"{""type"":""Polygon"",""coordinates"":[[[-0.052342,44.242144],[-0.042756,44.242144],[-0.042756,44.249539],[-0.052342,44.249539],[-0.052342,44.242144]]]}",,Aquitaine,FR,rain_fed
Cargill Grains - Cherkasy Maize Plot 010,49.646066,31.680661,Maize,788000,,3.15,Cherkasy,UA,rain_fed
COFCO - Iowa Maize Plot 011,41.893914,-93.111892,Maize,412000,,0.59,Iowa,US,rain_fed
ADM - Aquitaine Maize Plot 012,43.742843,0.51101,Maize,419000,,0.96,Aquitaine,FR,rain_fed
LDC - Buenos Aires Maize Plot 013,-33.411927,-61.970119,Maize,1243000,,3.32,Buenos Aires,AR,irrigated
Bunge - Iowa Maize Plot 014,41.561846,-93.15799,Maize,908000,,3.26,Iowa,US,rain_fed
Cargill Grains - Mato Grosso Maize Plot 015,-13.415658,-55.597507,Maize,2357000,"{""type"":""Polygon"",""coordinates"":[[[-55.597507,-13.415658],[-55.59351,-13.415658],[-55.59351,-13.410473],[-55.597507,-13.410473],[-55.597507,-13.415658]]]}",,Mato Grosso,BR,mixed
ADM - Mato Grosso Maize Plot 016,-13.560506,-55.364563,Maize,830000,,2.63,Mato Grosso,BR,irrigated
Cargill Grains - Buenos Aires Maize Plot 017,-32.937911,-62.540058,Maize,1481000,,3.34,Buenos Aires,AR,rain_fed
COFCO - Buenos Aires Maize Plot 018,-32.856289,-61.492109,Maize,2102000,,0.62,Buenos Aires,AR,irrigated
Cargill Grains - Aquitaine Maize Plot 019,44.519474,-0.043698,Maize,1301000,,0.74,Aquitaine,FR,irrigated
Bunge - Iowa Maize Plot 020,41.973543,-93.872487,Maize,1591000,,2.01,Iowa,US,mixed
Bunge - Nebraska Maize Plot 021,40.589279,-99.034869,Maize,1701000,"{""type"":""Polygon"",""coordinates"":[[[-99.034869,40.589279],[-99.02428,40.589279],[-99.02428,40.595467],[-99.034869,40.595467],[-99.034869,40.589279]]]}",,Nebraska,US,irrigated
Cargill Grains - Cherkasy Maize Plot 022,49.579867,31.559689,Maize,425000,,1.42,Cherkasy,UA,irrigated
Bunge - Buenos Aires Maize Plot 023,-33.338567,-62.141734,Maize,1087000,,0.63,Buenos Aires,AR,mixed
Bunge - Buenos Aires Maize Plot 024,-33.525706,-62.154495,Maize,1671000,,2.57,Buenos Aires,AR,irrigated
Bunge - Mato Grosso Maize Plot 025,-13.527182,-56.047818,Maize,843000,,3.3,Mato Grosso,BR,rain_fed
Bunge - Nebraska Maize Plot 026,41.094795,-98.974321,Maize,1003000,,2.83,Nebraska,US,irrigated
ADM - Mato Grosso Maize Plot 027,-12.968923,-55.950706,Maize,1473000,"{""type"":""Polygon"",""coordinates"":[[[-55.950706,-12.968923],[-55.946228,-12.968923],[-55.946228,-12.962917],[-55.950706,-12.962917],[-55.950706,-12.968923]]]}",,Mato Grosso,BR,mixed
Bunge - Nebraska Maize Plot 028,41.356296,-99.049774,Maize,366000,,1.42,Nebraska,US,rain_fed
Cargill Grains - Iowa Maize Plot 029,42.221896,-93.540896,Maize,2375000,,1.75,Iowa,US,rain_fed
Cargill Grains - Iowa Maize Plot 030,42.523866,-93.412175,Maize,2357000,,3.03,Iowa,US,rain_fed
ADM - Mato Grosso Maize Plot 031,-13.414886,-54.955771,Maize,175000,,3.27,Mato Grosso,BR,rain_fed
COFCO - Iowa Maize Plot 032,41.745893,-93.764529,Maize,1842000,,1.5,Iowa,US,mixed
COFCO - Aquitaine Maize Plot 033,43.875459,-0.313016,Maize,172000,"{""type"":""Polygon"",""coordinates"":[[[-0.313016,43.875459],[-0.304332,43.875459],[-0.304332,43.881567],[-0.313016,43.881567],[-0.313016,43.875459]]]}",,Aquitaine,FR,mixed
Cargill Grains - Aquitaine Maize Plot 034,44.301842,0.002134,Maize,2320000,,2.49,Aquitaine,FR,rain_fed
Cargill Grains - Buenos Aires Maize Plot 035,-33.333472,-61.525293,Maize,379000,,2.63,Buenos Aires,AR,rain_fed
ADM - Aquitaine Maize Plot 036,44.329474,0.136739,Maize,1823000,,2.4,Aquitaine,FR,rain_fed
Bunge - Aquitaine Maize Plot 037,44.078674,-0.46466,Maize,1572000,,2.81,Aquitaine,FR,mixed
LDC - Iowa Maize Plot 038,41.877353,-93.558384,Maize,1546000,,3.03,Iowa,US,mixed
